Output format is aligned.
Border style is 2.
Null display is "(null)".
== Per-year regular-season game count ==
+------+---------------+
|  yr  | regular_games |
| 2020 | divisionseries |        15 |
| 2020 | lcs            |        14 |
| 2020 | regular        |       898 |
| 2020 | wildcard       |        18 |
| 2020 | worldseries    |         6 |
| 2021 | allstar        |         1 |
| 2021 | divisionseries |        17 |
| 2021 | lcs            |        12 |
| 2021 | regular        |      2429 |
| 2021 | wildcard       |         2 |
| 2021 | worldseries    |         6 |
| 2022 | allstar        |         1 |
| 2022 | divisionseries |        16 |
| 2022 | lcs            |         9 |
| 2022 | regular        |      2430 |
| 2022 | wildcard       |         9 |
| 2022 | worldseries    |         6 |
| 2023 | allstar        |         1 |
| 2023 | divisionseries |        14 |
| 2023 | lcs            |        14 |
| 2023 | regular        |      2430 |
| 2023 | wildcard       |         8 |
| 2023 | worldseries    |         5 |
+------+----------------+-----------+
(498 rows)

