Output format is aligned.
Border style is 2.
Null display is "(null)".
== Global stattype distribution (all years, all 4 tables combined) ==
+----------+----------+---------+
| stattype |    n     |   pct   |
+----------+----------+---------+
| value    | 11865906 | 98.9303 |
| official |   122284 |  1.0195 |
| lower    |     4925 |  0.0411 |
| upper    |     1099 |  0.0092 |
+----------+----------+---------+
(4 rows)


== Per-table stattype distribution ==
+-----------+----------+---------+---------+
|    tbl    | stattype |    n    |   pct   |
+------+-------------+---------+---------------+
| 1960 |         938 |   71634 |      1.309434 |
| 1961 |         818 |   80764 |      1.012827 |
| 1962 |        1089 |   92908 |      1.172127 |
| 1963 |         691 |   90765 |      0.761307 |
| 1964 |         827 |   92593 |      0.893156 |
| 1965 |         669 |   94303 |      0.709415 |
| 1966 |         612 |   93003 |      0.658043 |
| 1967 |         581 |   93246 |      0.623083 |
| 1968 |         504 |   91160 |      0.552874 |
| 1969 |         943 |  111970 |      0.842190 |
| 1970 |         588 |  112819 |      0.521189 |
| 1971 |         465 |  109335 |      0.425298 |
| 1972 |         454 |  104823 |      0.433111 |
| 1973 |         593 |  110077 |      0.538714 |
| 1974 |         229 |  111401 |      0.205564 |
| 1975 |         395 |  110295 |      0.358130 |
| 1976 |         196 |  109751 |      0.178586 |
| 1977 |         239 |  121856 |      0.196133 |
| 1978 |         172 |  120054 |      0.143269 |
| 1979 |         203 |  120670 |      0.168227 |
| 1980 |         149 |  122863 |      0.121273 |
| 1981 |          52 |   83547 |      0.062240 |
| 1986 |           2 |  126152 |      0.001585 |
+------+-------------+---------+---------------+
(23 rows)

